t,BLOOD_A.vol,BLOOD_A.pres,BLOOD_A.to2,BLOOD_A.tco2,BLOOD_A.temp,BLOOD_B.vol,BLOOD_B.pres,BLOOD_B.to2,BLOOD_B.tco2,BLOOD_B.temp,R_AB.flow,TVE_ISOLATED.vol,TVE_ISOLATED.pres,TVE_ISOLATED.el_min_eff,TVE_ISOLATED.el_max_eff
0.6704999999999816,0.07500003505386942,75.0000354079489,8,20,37,0.0749999649461306,74.99996459205111,5.333332086972952,25.333335826054117,34.99999906522966,7.081589778579201e-7,0.02,27.5,500,5000
0.6804999999999805,0.07500002867080299,75.00002896040706,8,20,37,0.07499997132919703,74.99997103959295,5.3333323139266176,25.33333537214679,34.99999923544492,5.792081411470917e-7,0.02,27.5,500,5000
0.6904999999999794,0.07500002345004869,75.00002368691787,8,20,37,0.07499997654995133,74.99997631308216,5.333332499553568,25.333335000892895,34.99999937466512,4.73738357129605e-7,0.02,27.5,500,5000
0.7004999999999783,0.07500001917995754,75.00001937369449,8,20,37,0.07499998082004249,74.99998062630554,5.333332651379119,25.333334697241796,34.999999488534286,3.874738894182883e-7,0.02,27.5,500,5000
0.7104999999999771,0.07500001568742033,75.00001584587912,8,20,37,0.07499998431257969,74.99998415412091,5.333332775558278,25.33333444888348,34.99999958166867,3.1691758209717593e-7,0.02,27.5,500,5000
0.720499999999976,0.07500001283084991,75.00001296045446,8,20,37,0.07499998716915011,74.99998703954556,5.333332877125262,25.333334245749505,34.99999965784392,2.592090889663723e-7,0.02,27.5,500,5000
0.730499999999975,0.07500001049444116,75.00001060044562,8,20,37,0.07499998950555886,74.99998939955441,5.333332960197599,25.333334079604835,34.999999720148175,2.120089121149249e-7,0.02,27.5,500,5000
0.7404999999999738,0.07500000858347623,75.00000867017802,8,20,37,0.07499999141652379,74.99999132982201,5.333333028143038,25.33333394371396,34.99999977110727,1.7340356009754032e-7,0.02,27.5,500,5000
0.7504999999999727,0.07500000702048477,75.00000709139876,8,20,37,0.07499999297951525,74.99999290860127,5.333333083716079,25.333333832567885,34.99999981278705,1.4182797485773336e-7,0.02,27.5,500,5000
0.7604999999999716,0.0750000057421032,75.00000580010426,8,20,37,0.07499999425789682,74.99999419989577,5.333333129169653,25.333333741660738,34.999999846877245,1.1600208495110564e-7,0.02,27.5,500,5000
0.7704999999999705,0.07500000469650603,75.00000474394548,8,20,37,0.074999995303494,74.99999525605453,5.333333166346447,25.33333366730715,34.999999874759844,9.487890949344546e-8,0.02,27.5,500,5000
0.7804999999999694,0.07500000384130488,75.00000388010594,8,20,37,0.07499999615869514,74.99999611989408,5.333333196753602,25.333333606492836,34.9999998975652,7.760211857998911e-8,0.02,27.5,500,5000
0.7904999999999683,0.07500000314182989,75.00000317356555,8,20,37,0.07499999685817013,74.99999682643447,5.3333332216238265,25.333333556752393,34.999999916217874,6.347131076722689e-8,0.02,27.5,500,5000
0.8004999999999672,0.07500000256972449,75.0000025956813,8,20,37,0.07499999743027554,74.99999740431873,5.333333241965351,25.33333351606933,34.99999993147402,5.19136256116326e-8,0.02,27.5,500,5000
0.8104999999999661,0.07500000210179548,75.00000212302574,8,20,37,0.07499999789820454,74.99999787697428,5.333333258602828,25.33333348279439,34.99999994395213,4.246051460654598e-8,0.02,27.5,500,5000
0.820499999999965,0.07500000171907309,75.00000173643747,8,20,37,0.07499999828092693,74.99999826356256,5.333333272210737,25.333333455578586,34.99999995415806,3.47287490853887e-8,0.02,27.5,500,5000
0.8304999999999639,0.0750000014060418,75.00000142024425,8,20,37,0.07499999859395823,74.99999857975578,5.33333328334074,25.333333433318575,34.999999962505576,2.8404884631072492e-8,0.02,27.5,500,5000
0.8404999999999628,0.07500000115001133,75.00000116162761,8,20,37,0.07499999884998869,74.9999988383724,5.333333292444045,25.33333341511197,34.999999969333054,2.3232552024410325e-8,0.02,27.5,500,5000
0.8504999999999617,0.07500000094060225,75.00000095010328,8,20,37,0.07499999905939778,74.99999904989674,5.333333299889702,25.333333400220653,34.999999974917294,1.9002065414497338e-8,0.02,27.5,500,5000
0.8604999999999606,0.0750000007693251,75.00000077709606,8,20,37,0.07499999923067492,74.99999922290395,5.333333305979555,25.333333388040938,34.999999979484684,1.5541921101203115e-8,0.02,27.5,500,5000
0.8704999999999595,0.07500000062923634,75.00000063559226,8,20,37,0.07499999937076368,74.99999936440777,5.333333310960487,25.33333337807907,34.99999998322038,1.2711844874502277e-8,0.02,27.5,500,5000
0.8804999999999584,0.07500000051465677,75.00000051985532,8,20,37,0.07499999948534325,74.9999994801447,5.333333315034427,25.333333369931193,34.999999986275824,1.039710625150292e-8,0.02,27.5,500,5000
0.8904999999999573,0.07500000042094135,75.00000042519328,8,20,37,0.07499999957905867,74.99999957480674,5.33333331836653,25.333333363266977,34.99999998877492,8.503865416287226e-9,0.02,27.5,500,5000
0.9004999999999562,0.07500000034429087,75.00000034776856,8,20,37,0.07499999965570915,74.99999965223147,5.333333321091881,25.333333357816276,34.99999999081893,6.955370963623863e-9,0.02,27.5,500,5000
0.9104999999999551,0.0750000002815979,75.00000028444231,8,20,37,0.07499999971840213,74.9999997155577,5.333333323320965,25.33333335335811,34.999999992490736,5.688846016482785e-9,0.02,27.5,500,5000
0.920499999999954,0.07500000023032084,75.00000023264731,8,20,37,0.07499999976967918,74.9999997673527,5.333333325144145,25.33333334971174,34.99999999385811,4.652946046235229e-9,0.02,27.5,500,5000
0.9304999999999529,0.075000000188381,75.00000019028384,8,20,37,0.07499999981161902,74.99999980971619,5.333333326635337,25.33333334672935,34.999999994976484,3.805676556112303e-9,0.02,27.5,500,5000
0.9404999999999518,0.07500000015407816,75.0000001556345,8,20,37,0.07499999984592186,74.99999984436552,5.333333327854998,25.333333344290043,34.99999999589124,3.1126897681588162e-9,0.02,27.5,500,5000
0.9504999999999507,0.07500000012602158,75.00000012729451,8,20,37,0.07499999987397844,74.9999998727055,5.333333328852565,25.333333342294914,34.99999999663942,2.5458901120600785e-9,0.02,27.5,500,5000
0.9604999999999496,0.07500000010307392,75.00000010411507,8,20,37,0.0749999998969261,74.99999989588494,5.3333333296684815,25.333333340663074,34.99999999725135,2.0823013358040042e-9,0.02,27.5,500,5000
0.9704999999999485,0.07500000008430485,75.00000008515642,8,20,37,0.07499999991569517,74.9999999148436,5.333333330335825,25.333333339328387,34.999999997751864,1.7031281629442675e-9,0.02,27.5,500,5000
0.9804999999999474,0.07500000006895353,75.00000006965003,8,20,37,0.07499999993104649,74.99999993034999,5.33333333088165,25.333333338236738,34.99999999816122,1.3930004172379995e-9,0.02,27.5,500,5000
0.9904999999999463,0.07500000005639758,75.00000005696725,8,20,37,0.07499999994360244,74.99999994303278,5.333333331328082,25.33333333734387,34.999999998496044,1.1393447607588313e-9,0.02,27.5,500,5000
1.0004999999999453,0.07500000004612797,75.00000004659391,8,20,37,0.07499999995387205,74.99999995340612,5.333333331693224,25.333333336613585,34.999999998769894,9.318779348177486e-10,0.02,27.5,500,5000
1.0104999999999442,0.0750000000377284,75.0000000381095,8,20,37,0.07499999996227162,74.99999996189052,5.333333331991873,25.33333333601628,34.99999999899388,7.621898134857474e-10,0.02,27.5,500,5000
1.0204999999999431,0.07500000003085834,75.00000003117003,8,20,37,0.07499999996914168,74.99999996882998,5.333333332236141,25.333333335527737,34.999999999177106,6.234004956695572e-10,0.02,27.5,500,5000
1.030499999999942,0.07500000002523927,75.0000000254942,8,20,37,0.07499999997476076,74.99999997450583,5.33333333243593,25.33333333512816,34.99999999932694,5.09883761878882e-10,0.02,27.5,500,5000
1.040499999999941,0.07500000002064339,75.0000000208519,8,20,37,0.07499999997935664,74.99999997914811,5.3333333325993415,25.333333334801342,34.9999999994495,4.1703785313984554e-10,0.02,27.5,500,5000
1.0504999999999398,0.07500000001688438,75.00000001705493,8,20,37,0.07499999998311564,74.9999999829451,5.333333332732995,25.33333333453403,34.99999999954975,3.410983140383905e-10,0.02,27.5,500,5000
1.0604999999999387,0.07500000001380987,75.00000001394936,8,20,37,0.07499999998619016,74.99999998605065,5.3333333328423125,25.333333334315395,34.999999999631754,2.789870734432043e-10,0.02,27.5,500,5000
1.0704999999999376,0.07500000001129521,75.0000000114093,8,20,37,0.07499999998870481,74.99999998859072,5.333333332931723,25.333333334136572,34.99999999969881,2.2818582579020585e-10,0.02,27.5,500,5000
1.0804999999999365,0.07500000000923845,75.00000000933177,8,20,37,0.07499999999076157,74.99999999066826,5.333333333004853,25.33333333399031,34.99999999975365,1.8663513401406818e-10,0.02,27.5,500,5000
1.0904999999999354,0.07500000000755622,75.00000000763255,8,20,37,0.0749999999924438,74.99999999236748,5.333333333064664,25.333333333870687,34.99999999979849,1.526507276139455e-10,0.02,27.5,500,5000
1.1004999999999343,0.0750000000061803,75.00000000624273,8,20,37,0.07499999999381972,74.9999999937573,5.333333333113587,25.33333333377284,34.999999999835175,1.2485429579101037e-10,0.02,27.5,500,5000
1.1104999999999332,0.07500000000505493,75.00000000510599,8,20,37,0.0749999999949451,74.99999999489404,5.333333333153602,25.33333333369281,34.9999999998652,1.0211948620053591e-10,0.02,27.5,500,5000
1.120499999999932,0.0750000000041345,75.00000000417626,8,20,37,0.07499999999586553,74.99999999582377,5.33333333318633,25.333333333627348,34.99999999988975,8.352486702278838e-11,0.02,27.5,500,5000
1.130499999999931,0.07500000000338165,75.0000000034158,8,20,37,0.07499999999661837,74.99999999658422,5.333333333213097,25.333333333573805,34.99999999990983,6.83158418723906e-11,0.02,27.5,500,5000
1.14049999999993,0.0750000000027659,75.00000000279383,8,20,37,0.07499999999723413,74.99999999720619,5.333333333234991,25.333333333530017,34.999999999926246,5.5876370197438516e-11,0.02,27.5,500,5000
1.1504999999999288,0.07500000000226226,75.00000000228512,8,20,37,0.07499999999773777,74.99999999771491,5.333333333252897,25.3333333334942,34.999999999939696,4.5702108764089644e-11,0.02,27.5,500,5000
1.1604999999999277,0.07500000000185032,75.00000000186901,8,20,37,0.0749999999981497,74.999999998131,5.333333333267546,25.333333333464907,34.99999999995069,3.7380090134320197e-11,0.02,27.5,500,5000
1.1704999999999266,0.07500000000151337,75.00000000152866,8,20,37,0.07499999999848665,74.99999999847135,5.3333333332795245,25.333333333440947,34.99999999995967,3.057309072573844e-11,0.02,27.5,500,5000
1.1804999999999255,0.0750000000012378,75.0000000012503,8,20,37,0.07499999999876222,74.99999999874971,5.333333333289324,25.33333333342135,34.99999999996701,2.5005846282510903e-11,0.02,27.5,500,5000
1.1904999999999244,0.0750000000010124,75.00000000102263,8,20,37,0.07499999999898763,74.9999999989774,5.33333333329734,25.33333333340532,34.99999999997302,2.0452262106118724e-11,0.02,27.5,500,5000
1.2004999999999233,0.07500000000082804,75.00000000083641,8,20,37,0.07499999999917198,74.9999999991636,5.333333333303894,25.333333333392204,34.99999999997793,1.6728023410905736e-11,0.02,27.5,500,5000
1.2104999999999222,0.07500000000067725,75.00000000068408,8,20,37,0.07499999999932278,74.99999999931593,5.333333333309255,25.333333333381486,34.99999999998195,1.3681500377060729e-11,0.02,27.5,500,5000
1.220499999999921,0.07500000000055393,75.00000000055952,8,20,37,0.0749999999994461,74.9999999994405,5.33333333331364,25.333333333372714,34.999999999985235,1.1190195436938667e-11,0.02,27.5,500,5000
1.23049999999992,0.07500000000045308,75.00000000045766,8,20,37,0.07499999999954694,74.99999999954237,5.33333333331723,25.333333333365548,34.99999999998793,9.152927304967307e-12,0.02,27.5,500,5000
1.240499999999919,0.0750000000003706,75.00000000037436,8,20,37,0.07499999999962942,74.99999999962567,5.333333333320163,25.33333333335968,34.99999999999012,7.486846698157024e-12,0.02,27.5,500,5000
1.2504999999999178,0.07500000000030312,75.00000000030619,8,20,37,0.0749999999996969,74.99999999969384,5.333333333322563,25.333333333354883,34.99999999999192,6.123457296780543e-12,0.02,27.5,500,5000
1.2604999999999167,0.07500000000024788,75.00000000025038,8,20,37,0.07499999999975214,74.99999999974965,5.333333333324524,25.333333333350957,34.999999999993385,5.007336767448578e-12,0.02,27.5,500,5000
1.2704999999999156,0.07500000000020272,75.00000000020478,8,20,37,0.0749999999997973,74.99999999979525,5.333333333326127,25.333333333347746,34.999999999994586,4.0952841118269135e-12,0.02,27.5,500,5000
1.2804999999999145,0.07500000000016581,75.00000000016749,8,20,37,0.07499999999983421,74.99999999983254,5.333333333327439,25.333333333345117,34.999999999995566,3.349498456373112e-12,0.02,27.5,500,5000
1.2904999999999134,0.07500000000013561,75.00000000013698,8,20,37,0.07499999999986441,74.99999999986304,5.333333333328512,25.333333333342967,34.99999999999637,2.7394264634494904e-12,0.02,27.5,500,5000
1.3004999999999123,0.07500000000011091,75.00000000011204,8,20,37,0.07499999999988911,74.99999999988799,5.333333333329391,25.33333333334121,34.99999999999703,2.240483354398748e-12,0.02,27.5,500,5000
1.3104999999999112,0.07500000000009072,75.00000000009163,8,20,37,0.0749999999999093,74.9999999999084,5.33333333333011,25.333333333339773,34.999999999997584,1.8323476069781463e-12,0.02,27.5,500,5000
1.32049999999991,0.07500000000007419,75.00000000007493,8,20,37,0.07499999999992583,74.99999999992508,5.333333333330699,25.3333333333386,34.99999999999801,1.4985346297180513e-12,0.02,27.5,500,5000
1.330499999999909,0.0750000000000607,75.0000000000613,8,20,37,0.07499999999993932,74.99999999993871,5.33333333333118,25.333333333337638,34.99999999999837,1.2259704362804768e-12,0.02,27.5,500,5000
1.3404999999999079,0.07500000000004965,75.00000000005015,8,20,37,0.07499999999995037,74.99999999994986,5.333333333331573,25.333333333336853,34.99999999999866,1.0028600172518053e-12,0.02,27.5,500,5000
1.3504999999999068,0.07500000000004062,75.00000000004104,8,20,37,0.0749999999999594,74.99999999995899,5.333333333331894,25.33333333333621,34.99999999999894,8.205347512557637e-13,0.02,27.5,500,5000
1.3604999999999057,0.07500000000003323,75.00000000003357,8,20,37,0.07499999999996679,74.99999999996645,5.333333333332157,25.33333333333568,34.9999999999991,6.711786681989906e-13,0.02,27.5,500,5000
1.3704999999999046,0.07500000000002718,75.00000000002746,8,20,37,0.07499999999997284,74.99999999997256,5.333333333332372,25.333333333335247,34.99999999999924,5.489653176482534e-13,0.02,27.5,500,5000
1.3804999999999035,0.07500000000002223,75.00000000002245,8,20,37,0.07499999999997779,74.99999999997758,5.333333333332548,25.333333333334895,34.99999999999938,4.4877879190607925e-13,0.02,27.5,500,5000
1.3904999999999024,0.07500000000001819,75.00000000001837,8,20,37,0.07499999999998183,74.99999999998165,5.333333333332692,25.33333333333461,34.999999999999524,3.6720848584081977e-13,0.02,27.5,500,5000
1.4004999999999013,0.07500000000001489,75.00000000001504,8,20,37,0.07499999999998513,74.99999999998498,5.333333333332809,25.333333333334384,34.999999999999666,3.0055957722652236e-13,0.02,27.5,500,5000
1.4104999999999002,0.07500000000001218,75.0000000000123,8,20,37,0.07499999999998784,74.99999999998772,5.333333333332905,25.333333333334178,34.999999999999744,2.4584778657299467e-13,0.02,27.5,500,5000
1.420499999999899,0.07500000000000998,75.00000000001008,8,20,37,0.07499999999999005,74.99999999998995,5.333333333332983,25.333333333334036,34.999999999999744,2.0122570276726037e-13,0.02,27.5,500,5000
1.430499999999898,0.07500000000000817,75.00000000000826,8,20,37,0.07499999999999185,74.99999999999177,5.333333333333048,25.333333333333893,34.999999999999744,1.6484591469634324e-13,0.02,27.5,500,5000
1.4404999999998969,0.07500000000000669,75.00000000000675,8,20,37,0.07499999999999334,74.99999999999326,5.333333333333101,25.33333333333379,34.999999999999744,1.3486101124726702e-13,0.02,27.5,500,5000
1.4504999999998958,0.07500000000000548,75.00000000000553,8,20,37,0.07499999999999454,74.99999999999449,5.333333333333143,25.33333333333372,34.999999999999744,1.1041834113711956e-13,0.02,27.5,500,5000
1.4604999999998947,0.07500000000000448,75.00000000000452,8,20,37,0.07499999999999554,74.9999999999955,5.3333333333331785,25.33333333333365,34.999999999999744,9.023892744153272e-14,0.02,27.5,500,5000
1.4704999999998936,0.07500000000000365,75.0000000000037,8,20,37,0.07499999999999638,74.99999999999633,5.333333333333212,25.333333333333577,34.999999999999744,7.361222742474638e-14,0.02,27.5,500,5000
1.4804999999998925,0.07500000000000304,75.00000000000307,8,20,37,0.07499999999999699,74.99999999999696,5.33333333333323,25.333333333333506,34.999999999999744,6.110667527536861e-14,0.02,27.5,500,5000
1.4904999999998914,0.07500000000000248,75.00000000000252,8,20,37,0.07499999999999754,74.99999999999751,5.333333333333248,25.333333333333435,34.999999999999744,5.0022208597511053e-14,0.02,27.5,500,5000
1.5004999999998903,0.075000000000002,75.000000000002,8,20,37,0.07499999999999803,74.99999999999801,5.3333333333332655,25.333333333333435,34.999999999999744,3.993250174971763e-14,0.02,27.5,500,5000
1.5104999999998892,0.07500000000000172,75.00000000000173,8,20,37,0.0749999999999983,74.9999999999983,5.333333333333283,25.333333333333435,34.999999999999744,3.439026841078885e-14,0.02,27.5,500,5000
